time,temperature_2m
2026-02-19T00:00,4.8
2026-02-19T01:00,4.8
2026-02-19T02:00,5.0
2026-02-19T03:00,5.3
2026-02-19T04:00,5.5
2026-02-19T05:00,5.7
2026-02-19T06:00,5.8
2026-02-19T07:00,5.9
2026-02-19T08:00,5.9
2026-02-19T09:00,5.8
2026-02-19T10:00,6.1
2026-02-19T11:00,6.6
2026-02-19T12:00,6.9
2026-02-19T13:00,7.2
2026-02-19T14:00,7.1
2026-02-19T15:00,7.0
2026-02-19T16:00,6.9
2026-02-19T17:00,6.8
2026-02-19T18:00,6.7
2026-02-19T19:00,6.4
2026-02-19T20:00,5.9
2026-02-19T21:00,5.9
2026-02-19T22:00,5.6
2026-02-19T23:00,5.5
2026-02-20T00:00,5.4
2026-02-20T01:00,5.1
2026-02-20T02:00,5.3
2026-02-20T03:00,5.3
2026-02-20T04:00,5.2
2026-02-20T05:00,5.0
2026-02-20T06:00,4.9
2026-02-20T07:00,5.0
2026-02-20T08:00,5.5
2026-02-20T09:00,6.3
2026-02-20T10:00,8.0
2026-02-20T11:00,9.9
2026-02-20T12:00,10.6
2026-02-20T13:00,10.8
2026-02-20T14:00,10.7
2026-02-20T15:00,10.9
2026-02-20T16:00,11.6
2026-02-20T17:00,12.0
2026-02-20T18:00,12.0
2026-02-20T19:00,11.7
2026-02-20T20:00,11.0
2026-02-20T21:00,10.4
2026-02-20T22:00,10.3
2026-02-20T23:00,10.2
2026-02-21T00:00,10.5
2026-02-21T01:00,10.5
2026-02-21T02:00,10.7
2026-02-21T03:00,10.6
2026-02-21T04:00,10.7
2026-02-21T05:00,10.8
2026-02-21T06:00,10.7
2026-02-21T07:00,10.1
2026-02-21T08:00,9.8
2026-02-21T09:00,10.3
2026-02-21T10:00,11.6
2026-02-21T11:00,13.2
2026-02-21T12:00,14.8
2026-02-21T13:00,15.5
2026-02-21T14:00,15.5
2026-02-21T15:00,13.7
2026-02-21T16:00,13.3
2026-02-21T17:00,13.3
2026-02-21T18:00,13.1
2026-02-21T19:00,12.5
2026-02-21T20:00,12.0
2026-02-21T21:00,11.7
2026-02-21T22:00,11.8
2026-02-21T23:00,11.7
2026-02-22T00:00,11.5
2026-02-22T01:00,11.5
2026-02-22T02:00,11.6
2026-02-22T03:00,11.5
2026-02-22T04:00,11.6
2026-02-22T05:00,11.5
2026-02-22T06:00,11.4
2026-02-22T07:00,11.6
2026-02-22T08:00,11.7
2026-02-22T09:00,12.2
2026-02-22T10:00,12.7
2026-02-22T11:00,13.7
2026-02-22T12:00,14.2
2026-02-22T13:00,14.4
2026-02-22T14:00,14.4
2026-02-22T15:00,14.2
2026-02-22T16:00,13.6
2026-02-22T17:00,12.9
2026-02-22T18:00,12.2
2026-02-22T19:00,11.5
2026-02-22T20:00,10.9
2026-02-22T21:00,10.3
2026-02-22T22:00,9.9
2026-02-22T23:00,9.6
2026-02-23T00:00,9.4
2026-02-23T01:00,9.1
2026-02-23T02:00,8.8
2026-02-23T03:00,8.6
2026-02-23T04:00,8.5
2026-02-23T05:00,8.4
2026-02-23T06:00,8.4
2026-02-23T07:00,8.5
2026-02-23T08:00,8.8
2026-02-23T09:00,9.3
2026-02-23T10:00,10.2
2026-02-23T11:00,11.4
2026-02-23T12:00,12.2
2026-02-23T13:00,12.7
2026-02-23T14:00,12.9
2026-02-23T15:00,12.8
2026-02-23T16:00,12.4
2026-02-23T17:00,11.8
2026-02-23T18:00,11.2
2026-02-23T19:00,10.7
2026-02-23T20:00,10.3
2026-02-23T21:00,10.1
2026-02-23T22:00,10.2
2026-02-23T23:00,10.4
2026-02-24T00:00,10.7
2026-02-24T01:00,11.1
2026-02-24T02:00,11.4
2026-02-24T03:00,11.8
2026-02-24T04:00,12.1
2026-02-24T05:00,12.3
2026-02-24T06:00,12.5
2026-02-24T07:00,12.1
2026-02-24T08:00,11.6
2026-02-24T09:00,11.3
2026-02-24T10:00,11.5
2026-02-24T11:00,11.9
2026-02-24T12:00,12.3
2026-02-24T13:00,12.6
2026-02-24T14:00,12.9
2026-02-24T15:00,13.1
2026-02-24T16:00,13.0
2026-02-24T17:00,12.7
2026-02-24T18:00,12.5
2026-02-24T19:00,12.3
2026-02-24T20:00,12.2
2026-02-24T21:00,12.1
2026-02-24T22:00,12.1
2026-02-24T23:00,12.0
2026-02-25T00:00,11.9
2026-02-25T01:00,11.8
2026-02-25T02:00,11.6
2026-02-25T03:00,11.4
2026-02-25T04:00,11.2
2026-02-25T05:00,11.1
2026-02-25T06:00,11.0
2026-02-25T07:00,11.0
2026-02-25T08:00,11.1
2026-02-25T09:00,11.4
2026-02-25T10:00,12.3
2026-02-25T11:00,13.4
2026-02-25T12:00,14.2
2026-02-25T13:00,14.5
2026-02-25T14:00,14.6
2026-02-25T15:00,14.4
2026-02-25T16:00,13.7
2026-02-25T17:00,12.6
2026-02-25T18:00,11.8
2026-02-25T19:00,11.2
2026-02-25T20:00,10.8
2026-02-25T21:00,10.5
2026-02-25T22:00,10.3
2026-02-25T23:00,10.3
